professors_list,ratings_list,subjects_list,difficulty_list,link_list
Lew Disbrow,5.0,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1012557
J Fennesey,4.7,Speech,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1017275
C. Mueller,2.1,Physical Education,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1018390
Jarry Leisure,4.7,Design,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1020582
Maitreyee Chandra,4.1,Biology,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1025471
David Kurtzman,3.1,Mathematics,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1035027
Linda Peloquin,3.8,English,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1044271
S Iannone,0.0,Physics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1045773
Steven Newton,2.5,Geology,4.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1046673
Lenore Craven,3.7,English,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1055930
Joyce Pricco,4.7,Music,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1056857
Kristie Abbot-Walker,4.0,Languages,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1057214
L Grzanka,2.9,Languages,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1060948
Marcia Goodman,4.4,English,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1062193
Robert Canchola,4.4,Administration Of Justice,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1068305
Tamar Baskind,3.1,English,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1068313
Katie Gebler,3.5,English,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1069281
Claude Capozzo,5.0,Culinary Arts,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1069665
Monika Moore,4.3,Geography,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1071180
M Vasudeva,2.3,English,4.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1071347
D Saldivar,3.8,Languages,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1079143
Kevin Young,2.9,Economics,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1080266
Alison Field,4.7,History,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1088550
J Pearce,0.0,Mathematics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1090381
Desiree Holman,2.3,Art,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1094987
Marybeth Hartshorn,4.6,Psychology,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1095380
Sarah Templeton,3.9,Art History,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1097886
Megan Reed,2.4,English,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1104409
Dan Chaffey,5.0,Languages,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1108374
Stuart Hoekje,3.4,Chemistry,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1110116
Robert Peters,3.4,Education,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1115023
Lisa Sawry-Kubicek,5.0,Biology,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1115925
Jon Bendich,4.8,Art History,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1118372
G Willis,2.9,English,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1123143
J Crawford,4.0,Mathematics,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1131754
Todd Davis,4.1,English,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1138104
Megan Siler,3.1,Film,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1139206
Tanya French,4.5,Biology,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1139697
Jan Barnes,3.8,Computer Science,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1142582
Danni Vilas,3.3,Counseling,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1143715
Jessica Nissim,3.5,English,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1143881
C Roster,3.0,Chemistry,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1147767
Maria Dorado,4.9,Counseling & Career Planning,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1148671
Samuel Boone,0.0,Social Science,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1151179
Philip Colgan,4.9,Addiction Studies,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1151774
Barbara Villatoro,2.3,Mathematics,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1155312
S Runyon,3.8,Chemistry,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1156086
Heike Held,3.7,Chemistry,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1156471
Steve Coccimiglio,4.8,Physical Education,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1156653
Stacey Zupan,4.4,Humanities,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1157557
Michael Leonard,2.5,Art History,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1158319
K Harkness,2.9,Mathematics,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1158956
Karen Talbot,4.0,English,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1162921
Maureen O'Leary,4.5,English,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1164951
Avril Angevine,4.4,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1165065
Sarah McKinnon,3.9,English,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1165066
S Fetterhoff,1.0,English,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1166437
Matt Anderson,4.5,Computer Science,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1167163
Patrick Hendricks,3.1,Psychology,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1168277
John Rasmus,3.0,Economics,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1192884
Timothy Roberts,4.0,Mathematics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1198720
John Isles,4.0,English,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1209079
Ken Zeglin,0.0,Economics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1212585
Aynah Askanas,4.4,English,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213558
Cassy Yonemoto,4.4,Biology,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213560
Joe Valdez,3.3,Construction,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213567
Shelley Brock,2.5,Physics,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213568
Kyle Konis,0.0,Physics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213569
Arnoldo Bolanos,4.9,Physical Education,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213734
Gordon Matsumoto,4.5,Speech,1.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213738
Wanda Martin-McGill,3.1,Physical Education,4.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213936
Susan Deicke,4.3,Physical Education,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1213938
Leonard Chaplin,5.0,Physical Education,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1214067
Mike Darr,5.0,Physical Education,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1214068
Patricia Young,1.0,Chemistry,5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1217023
Mary Littig,3.6,Mathematics,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1218851
Irene Menegas,5.0,English,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1219082
Sviatoslav Inyushin,3.9,Chemistry,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1220542
Brazell Carter,2.6,History,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1222452
T. Gordon Matsumoto,4.5,Speech,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1224945
Roger Mullins,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1225050
Jim Jacob,3.5,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1225131
Kris Hammar,4.6,Health Science,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1225384
Susanna Hines,4.0,English,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1228496
Alex Jackson,4.6,Art,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1230151
James Harris,2.9,English,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1232364
Tim Murphy,4.4,Accounting,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1233327
Michael Whitaker,4.8,Mathematics,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1238178
Lauren Cross,3.1,Anthropology,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1239141
Richard Klier,2.9,Mathematics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1239572
Susanna Bustos,4.5,Psychology,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1240781
Steed Cowart,4.0,Music,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1240904
Boris Polishchuk,1.9,Mathematics,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1241510
Celeste Burrows,5.0,Physics,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1242745
Jorge Morgenstern,4.0,Languages,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1244180
Young-Ming Wu,4.8,Languages,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1247878
Catherine Brewer,3.1,Speech,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1251375
Linda Boyd,1.8,Biology,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1253980
Ali Kashani,2.2,Humanities,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1257690
Vasili Millias,5.0,Business,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1258239
Nail Ozboya,4.9,Engineering,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1258915
M Gummere,4.4,Film,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1259031
Erin Blythe Sanders,3.7,Humanities,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1260013
Rubina Darakjian,4.6,Languages,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1261011
Stern Gaius,3.7,Humanities,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1261729
Darlene Pratt,2.7,Addiction Studies,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1265340
Alicia Ostarello,1.0,English,5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1266728
Elizabeth Green,3.7,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1268805
William Thomas,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1270438
Peter Fuller,2.8,Mathematics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1272848
Dirk Vandepol,5.0,Biology,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1282257
Virginia Bigelow,3.5,Music,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1285145
Arvin Paul,4.8,Psychology,1.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1286902
Craig Cooper,4.8,Administration Of Justice,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1290758
Susmita Sengupta,2.0,Biology,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1291820
Victoria Olson,4.7,English,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1292152
J Burns,2.9,Speech,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1292293
Lupe Dannels,2.9,Psychology,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1292602
K Hrovat,3.6,Chemistry,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1296438
Lisa Ward,5.0,Physical Education,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1300995
Bob Tricca,4.5,Chemistry,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1300997
L Kattan,4.9,Languages,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1301721
Joseph Binger,3.8,History,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1311087
Melissa May,3.3,Biology,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1314492
Leslie Asher,2.3,Computer Science,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1319393
Diane Pitman,0.0,Art History,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1323298
Barbara Sawyer,3.3,Journalism,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1330404
Solemann Gueye,3.4,Economics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1330542
Elizabeth Wing-Paz,2.8,Humanities,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1333125
Carolyn Martin,3.3,English,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1350933
Asad Kabir,5.0,Philosophy,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1356267
Charles Gary,3.5,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1360097
Dore Ripley,4.3,English,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1361668
Ed Trujillo,4.0,Theater,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1369653
Seda Chavdarian,5.0,Languages,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1370646
Patricia Flores,2.5,Art History,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1372974
James Morgan,0.0,Mathematics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1374067
Marcelle Holland,3.5,Languages,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1374156
Erin O'Donnell,4.5,Languages,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1375211
Kristi Flanagan,3.1,Film,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1376314
Ken Hasbrouck,0.0,Geography,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1376813
Beverly Muller,4.2,Health Science,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1377024
Hashim Salih,4.7,Languages,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1377833
Jim Byrns,3.0,Speech,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1378122
Elizabeth Wingpaz,3.0,Humanities,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1380715
Sae Na Hong,3.2,English,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1381286
Sara Hong,3.1,English,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1381287
William Harlan,4.2,English,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1383387
Rita Delgado,4.3,Counseling & Career Planning,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1391853
Ieata Gomez,0.0,Art,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1393312
Stewart Winchester,5.0,Biology,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1410703
Robert Meyer,3.9,Chemistry,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1411985
Kathy Echols,0.0,Biology,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1417452
Aida Dargahi,2.7,Humanities,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1418503
Nancy Tengler,5.0,English,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1419470
Solomon Ssenyange,3.5,Chemistry,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1438133
Aimee Klask,4.0,History,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1439546
Kevin Shambrook,3.2,Physics,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1440406
Elizabeth CO,3.7,Biology,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1440524
Russel Holt,4.9,Engineering,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1445580
Dawnika Blatter,4.5,Geology,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1446406
Mariko Seida,4.4,Languages,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1449813
Nicole Westbrook,4.5,Counseling,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1450349
Annie Chandler,0.0,Counseling & Career Planning,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1450734
Tom Neely,2.4,Mathematics,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1454297
Tim Taylor,0.0,Art,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1455331
Ginelle Hustrulid,5.0,Art,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1464719
Robin Polokoff,4.3,Nutrition,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1464956
K Redmond,3.3,English,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1467134
Holt Brantley,0.0,Geography,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1467792
Glen Silva,3.4,English,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1468486
Javier Jiminez,3.0,English,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1470592
Lori Rogala,4.2,English,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1472011
Jay Tontz,2.3,Economics,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1475616
Marshall Hasbrouck,2.9,Geography,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1477632
Shamika Gune,3.2,Biology,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1479816
Craig Mossman,3.2,Chemistry,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1480295
Samanda Dorger,2.3,Journalism,4.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1487285
Ryan Moffet,5.0,Chemistry,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1487435
Jennifer Johnson,4.7,Chemistry,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1489320
Anne Horeis,3.6,Chemistry,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1503483
Catherine MacHalinski,4.4,Biology,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1503814
Jefferey Tsao,3.3,Biology,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1504959
Jane Dignon,1.0,Physics,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1508095
Sung Kim,0.0,Art History,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1514278
Eleni Economides-Gastis,4.6,English,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1518479
Sean McFarland,5.0,Art,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1524867
Vesna Rodic,4.3,Art History,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1525262
Loni Kawecki,0.0,Social Science,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1539805
Laurel De Wolf,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1540722
Susan Burgess,5.0,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1542533
Glenn Daggs,0.0,Criminal Justice,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1544499
Amanda Morrison,4.4,Humanities,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1544847
Nancie Kester,5.0,Music,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1545387
Kashi Manijeh,0.0,Languages,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1545575
Trey Apel,4.2,Geology,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1545754
Tatjana Polyakova,4.3,Architecture,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1546658
Adrienne Calomino,3.7,Mathematics,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1547592
Douglas Spindler,3.7,Computer Science,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1552687
Karen Lopilato,2.0,Economics,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1564400
John Malkovich,0.0,Culinary Arts,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1566614
Aurthur Robinson,3.9,English,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1574842
Pamela Calabrese,3.6,Psychology,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1575430
Liz Czapla,3.7,Mathematics,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1578475
Deborah Shanks,4.2,Music,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1580306
Lynn Krause,3.3,Social Science,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1582081
Jaseon Outlaw,4.2,Social Science,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1583755
Carol Ladewig-Bronstein,4.4,Art,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1585338
Maria Rita Francia Biasin,4.6,Languages,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1585375
Mike Lang-Moreland,3.6,Biology,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1585422
David King,5.0,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1586378
Lisa Drummond,4.8,Theater,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1587155
Bills Schwarz,4.3,Computer Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1588092
Lynne Robinson,4.5,Art History,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1591466
Jeannine Graham,4.5,Mathematics,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1593621
Farhad Sabetan,4.5,Economics,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1595512
Robert Ovetz,2.5,Political Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1595513
Jane McKenna,5.0,Library,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1596589
Sally Stafford,5.0,Physical Education,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1601280
Bani Wilson,3.5,Languages,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1619709
Meghan Swanson,4.0,English,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1626446
Maryam Younessi,3.0,Geography,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1628039
John Holmes,3.2,History,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1629102
Michael Aczon,4.4,Music,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1629628
Dorota Sawicka,4.0,Chemistry,1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1636731
Klara Libman,4.5,Languages,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1637694
Sophie Lesneski,4.5,English,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1640305
Carol Harris,3.8,Physical Education,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1643378
Cheryl Carter,5.0,Counseling,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1643469
Benjamin Armerding,3.9,English,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1644744
Jared Green,5.0,Not Specified,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1646567
Maura Corcoran,3.7,Chemistry,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1649597
Romesh Jain,2.5,Engineering,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1652434
Jim Bryns,3.8,Speech,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1652525
Kristen Moore,5.0,Counseling & Career Planning,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1653262
Amy Lentricchia,5.0,English,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1657276
Nirt Haese,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1657495
Richard Samuelson,4.1,Chemistry,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1660180
Randall Thompson,4.7,Business,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1661093
Leslie Timpe,4.0,Biology,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1661267
Anna Glaze,4.4,Art History,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1662769
Kathryne Gentzke,4.3,Humanities,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1663313
Susan Vutz,4.8,Not Specified,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1663569
Virgil Cooper,4.8,Economics,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1668970
Isaac Stormer,3.4,Chemistry,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1670013
Michael Whittier,5.0,Geography,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1670315
Jill Lear,3.0,Geography,5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1670318
Kiala Givehand,4.8,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1676091
Lynn Montelius,1.8,Health Science,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1683409
Rosaria Marinelli,4.0,Humanities,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1684690
Cheryll Lemay,3.0,Counseling & Career Planning,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1699844
Deborah Bauer,3.9,Sociology,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1700642
Miriam Schuman,4.1,Health Science,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1711956
Steve Scholz,0.0,Music,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1713738
Segal Boaz,3.6,Biology,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1718729
Dennis Franco,5.0,Counseling,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1724369
Neil Allen Nicol,3.3,Physics,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1725671
Vanessa Tobias,5.0,Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1726860
Licia Morrow,0.0,English,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1727797
Anna Rodas,0.0,Arts & Sciences,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1727798
Debra Phelps,4.3,Engineering,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1727991
Sherry Stockdale,0.0,Dance,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1728749
